RB,1
Austin Ekeler,292.1251755
Christian McCaffrey,282.2579436
Josh Jacobs,268.5222844
Saquon Barkley,244.414448
Rhamondre Stevenson,231.8434755
Derrick Henry ,222.6332097
Tony Pollard,217.2788391
Nick Chubb,215.2226665
Joe Mixon,214.9487298
Aaron Jones,204.9292703
DAndre Swift,203.9519605
Kenneth Walker III,202.0314818
Najee Harris,199.890765
Leonard Fournette,195.004425
Dalvin Cook,194.8894236
Alvin Kamara,193.3882216
Dameon Pierce,193.3402623
Travis Etienne,192.6752426
Breece Hall,191.8531363
James Conner,187.5272323
Jonathan Taylor,187.1347844
Miles Sanders,184.3511576
Antonio Gibson,172.8626828
Devin Singletary,169.687404
Jamaal Williams,168.9189272
Tyler Allgeier,168.1520584
AJ Dillon,162.8734914
David Montgomery,160.6179452
Jerick McKinnon,155.356237
Ezekiel Elliott,154.7958986
Rachaad White,154.6830467
Cam Akers,151.6485608
Clyde EdwardsHelaire,150.5187813
Brian Robinson Jr,150.0584071
Zonovan Knight,148.9551095
Jeff Wilson,147.1147512
Khalil Herbert,146.409001
Michael Carter,145.3219589
Cordarrelle Patterson,143.817206
JK Dobbins,142.9677529
Isiah Pacheco,142.6088447
Samaje Perine,138.2340024
Raheem Mostert,137.1206296
James Cook,134.282137
James Robinson,133.7448743
Damien Harris,130.7206222
Latavius Murray,128.0554013
Rashaad Penny,127.1303535
Eno Benjamin,123.6263376
Darrell Henderson,122.9028694
Kareem Hunt,121.6518461
Kenyan Drake,121.2147808
Nyheim Hines,120.9172907
DOnta Foreman,119.4882591
Chuba Hubbard,118.646343
Jaylen Warren,117.5073385
Deon Jackson,115.8194266
Melvin Gordon,112.101103
Kenneth Gainwell,110.79925
Dontrell Hilliard,109.1792714
Joshua Kelley,107.507245
Gus Edwards,106.1941228
Zack Moss,105.8054357
Chase Edmonds,104.3618642
Alexander Mattison,102.9907769
Caleb Huntley,99.78664308
Jamycal Hasty,84.52154696